
=== 10.1 Non-CR Elect. ===
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 14] {900 mmx500 mm-900 mmx500 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 5] {450 mmx950 mm-450 mmx950 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 5] {600 mmx1000 mm-600 mmx1000 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 5] {900 mmx300 mm-900 mmx300 mm} × 4
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 6] {300 mmx200 mm-300 mmx200 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 6] {600 mmx200 mm-600 mmx200 mm} × 6
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [MA 6] {650 mmx250 mm-650 mmx250 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [RA 2] {2500 mmx1100 mm-2500 mmx1100 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [RA 2] {900 mmx3400 mm-900 mmx3400 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [RA 5] {350 mmx800 mm-350 mmx800 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {1000 mmx600 mm-1000 mmx600 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {1250 mmx400 mm-1250 mmx400 mm} × 16
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {700 mmx350 mm-700 mmx350 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {850 mmx3300 mm-850 mmx3300 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {850 mmx400 mm-850 mmx400 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 1] {900 mmx300 mm-900 mmx300 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tap - Beveled | Standard [SA 4] {550 mmx1000 mm-550 mmx1000 mm} × 2
  Duct Fittings          | MH_M_Rectangular Tee | Standard [EA 6] {950 mmx450 mm-950 mmx450 mm-900 mmx450 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tee | Standard [EA 6] {950 mmx450 mm-950 mmx450 mm-950 mmx450 mm} × 1
  Duct Fittings          | MH_M_Rectangular Tee | Standard [MA 11] {300 mmx800 mm-300 mmx800 mm-300 mmx800 mm} × 1
  Duct Fittings          | MH_M_Rectangular Transition - Angle | 30 Degree [EA 1] {1600 mmx700 mm-1050 mmx700 mm} × 3
  Duct Fittings          | MH_M_Rectangular Transition - Angle | 30 Degree [EA 1] {2100 mmx700 mm-1600 mmx700 mm} × 2
