Sheet,WBS,S.NO,Description,Unit,Qty
"7.5 ICA+SW","7.5","1.2.9","PLUG THDM, ASME B16.11, 3000#, ASTM A 182 GR.F304L, THD(M), 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",4
"7.5 ICA+SW","7.5","1.2.10","FLANGE (SW RF ),  ASTM A182 F304, ASME B 16.5 150#, RF, Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",11
"7.5 ICA+SW","7.5","2","40 NB","Nos",1
"7.5 ICA+SW","7.5","1.2.11","FLANGE (SO RF ), ASTM A182 F304L, ASME B 16.5 150#, RF, Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.5 ICA+SW","7.5","1","50 NB","Nos",4
"7.5 ICA+SW","7.5","2","80 NB","Nos",4
"7.5 ICA+SW","7.5","1.2.13","BLIND FLANGE WITH GASKET ASTM  A182 F304L, ASME B 16.5 150#, RF","",0
"7.5 ICA+SW","7.5","1","40 NB","Nos",1
"7.5 ICA+SW","7.5","2","50 NB","Nos",2
"7.5 ICA+SW","7.5","3","80 NB","Nos",2
"7.5 ICA+SW","7.5","1.2.14","Nipple (POE x TOE), ASME B36.19, ASTM A312-TP 304L, 75MM LONG","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",19
"7.5 ICA+SW","7.5","2","40 NB","Nos",5
"7.5 ICA+SW","7.5","3","50 NB","Nos",1
"7.5 ICA+SW","7.5","1.3","BALL VALVE","",0
"7.5 ICA+SW","7.5","1.3.1","Ball Valve, Full Bore, ISO 17292, CL800, Floating Ball, Lever Operated, ASTM A 182 F304L, SS Ball, Seat-PTFE With Secondary Metal Seat, SW","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",17
"7.5 ICA+SW","7.5","2","40 NB","Nos",5
"7.5 ICA+SW","7.5","3","50 NB","Nos",4
"7.5 ICA+SW","7.5","1.3.2","Ball Valve, Full Bore, ISO 17292, CL150, ASME B 16.5, RF, Two Piece Floating Ball, Lever Operator, ASTM A 351 Gr. CF8M, Seat-PTFE With Secondary Metal Seat with Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.5 ICA+SW","7.5","1","80 NB","Nos",1
"7.5 ICA+SW","7.5","1.4","Instruments","",0
"7.5 ICA+SW","7.5","1.4.1","Pressure Gauge (INDICATOR), THDF","",0
"7.5 ICA+SW","7.5","","Supply, Installation, Testing And Commissioning of Pressure Gauge suitable for ICA.","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",3
"7.5 ICA+SW","7.5","1.4.2","Drain Port (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.5 ICA+SW","7.5","","Supply, Installation, Testing And Commissioning of drain port at suitable location","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",6
"7.5 ICA+SW","7.5","1.5","Air Manifold","",0
"7.5 ICA+SW","7.5","","Supply, erection, testing and commissioning of Air manifold with valves.","",0
"7.5 ICA+SW","7.5","1","25 NB X 8 NOS CONNECTION","Nos",2
"7.5 ICA+SW","7.5","2","25 NB X 4 NOS CONNECTION","Nos",7
"7.5 ICA+SW","7.5","3","50 NB X 4 NOS CONNECTION","Nos",1
"7.5 ICA+SW","7.5","4","50 NB X 8 NOS CONNECTION","Nos",4
"7.5 ICA+SW","7.5","1.1","PIPE","",0
"7.5 ICA+SW","7.5","","Supplying, erection, testing and commissioning of approved make Pipe for SW/PW including cutting, welding, installation etc, as per drawing. The quoted rate shall include for necessary clamp support for SW/PW pipes & Fittings etc.","",0
"7.5 ICA+SW","7.5","1.1.1","PIPE, ASME B36.10, PE, ERW(GALV.), IS:1239 / IS:3589, SCH HVY, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Mtr",6
"7.5 ICA+SW","7.5","2","40 NB","Mtr",6
"7.5 ICA+SW","7.5","1.1.2","PIPE, ASME B36.10, BE, ERW(GALV.), IS:1239 / IS:3589, SCH HVY, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","50 NB","Mtr",150
"7.5 ICA+SW","7.5","2","80 NB","Mtr",106
"7.5 ICA+SW","7.5","1.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"7.5 ICA+SW","7.5","1.2.1","Elbow, 90 Deg., ASME B16.11, THDF, 3000# (THDF), ASTM A 105(GALV.), SCH HVY, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",5
"7.5 ICA+SW","7.5","2","40 NB","Nos",7
"7.5 ICA+SW","7.5","1.2.2","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A234 GR. WPB-S (GALV), SCH STD , 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","50 NB","Nos",18
"7.5 ICA+SW","7.5","2","80 NB","Nos",7
"7.5 ICA+SW","7.5","1.2.3","Elbow, 45 Deg., ASME B16.11, THDF, 3000# (THDF), ASTM A 105(GALV.), SCH HVY, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",2
"7.5 ICA+SW","7.5","2","40 NB","Nos",4
"7.5 ICA+SW","7.5","1.2.4","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A234 GR. WPB-S (GALV), SCH STD , 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","80 NB","Nos",4
"7.5 ICA+SW","7.5","1.2.5","TEE, Equal, ASME B16.9, BW, 1.5D, ASTM A234 GR. WPB-S (GALV), SCH STD, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","80 NB","Nos",4
"7.5 ICA+SW","7.5","1.2.6","TEE, Reducing, ASME B16.11, THDF, 3000# (THDF), ASTM A 105(GALV.), SCH HVY, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","40 NB x 15 NB","Nos",0
"7.5 ICA+SW","7.5","2","40 NB x 25 NB","Nos",5
"7.5 ICA+SW","7.5","1.2.7","TEE, Reducing, ASME B16.9, BW, 1.5D, ASTM A234 GR. WPB-S (GALV), SCH STD , 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","80 NB x 40 NB","Nos",8
"7.5 ICA+SW","7.5","2","80 NB x 50 NB","Nos",0
"7.5 ICA+SW","7.5","1.2.8","CONC. REDUCER, ASME B16.9, BW, ASTM A234 GR. WPB-S (GALV), THK TO MATCH PIPE , 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","40 NB x 25 NB","Nos",8
"7.5 ICA+SW","7.5","1.2.9","HALF COUPLING, ASME B16.11, THDF, 3000# (THDF), ASTM A 105(GALV.)","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",3
"7.5 ICA+SW","7.5","1.2.10","FLANGE, ASME B 16.5, ASTM A105 (GALV), 150#, THDF-RF,125 AARH, Gasket - PTFE &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",11
"7.5 ICA+SW","7.5","2","50 NB","Nos",4
"7.5 ICA+SW","7.5","3","80 NB","Nos",9
"7.5 ICA+SW","7.5","1.2.11","BLIND FLANGE WITH GASKET ASTM A105 (GALV), ASME B 16.5, 150#, RF","",0
"7.5 ICA+SW","7.5","1","50 NB","Nos",4
"7.5 ICA+SW","7.5","2","80 NB","Nos",7
"7.5 ICA+SW","7.5","1.2.12","Nipple (POE x TOE)(NPT-M), IS 1239 PART-2 (GALV), 75MM LONG, SCH HVY","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",2
"7.5 ICA+SW","7.5","2","40 NB","Nos",1
"7.5 ICA+SW","7.5","3","50 NB","Nos",2
"7.5 ICA+SW","7.5","1.3","BALL VALVE","",0
"7.5 ICA+SW","7.5","1.3.1","Ball Valve, ISO 17292(GALV), CL800, Floating Ball, Lever Operated, ASTM A216 GR WCB, Seat-PTFE With Secondary Metal Seat, SW","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",11
"7.5 ICA+SW","7.5","2","40 NB","Nos",7
"7.5 ICA+SW","7.5","3","50 NB","Nos",9
"7.5 ICA+SW","7.5","1.3.2","Ball Valve, ISO 17292(GALV), CL150, ASME B 16.5, RF, Two Piece Floating Ball, Lever Operator, ASTM A216 GR WCB, Seat-PTFE With Secondary Metal Seat with Gasket - PTFE &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.5 ICA+SW","7.5","1","80 NB","Nos",6
"7.5 ICA+SW","7.5","1.4","Instruments","",0
"7.5 ICA+SW","7.5","1.4.1","Pressure Gauge (INDSW/PWTOR), THDF","",0
"7.5 ICA+SW","7.5","","Supply, Installation, Testing And Commissioning of Pressure Gauge suitable for SW/PW.","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",2
"7.5 ICA+SW","7.5","1.4.2","Drain Port (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.5 ICA+SW","7.5","","Supply, Installation, Testing And Commissioning of drain port at suitable location","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",5
"7.5 ICA+SW","7.5","3","PRIMARY SUPPORT TAG","UNITS",0
"7.5 ICA+SW","7.5","3.1","CLS-01","Nos",75
"7.5 ICA+SW","7.5","3.2","PSA-02","Nos",380
"7.5 ICA+SW","7.5","3.3","PSA-04","Nos",50
"7.5 ICA+SW","7.5","3.4","PSA-05","Nos",50
"7.5 ICA+SW","7.5","3.5","PC-05","Nos",730
"7.5 ICA+SW","7.5","3.6","PC-02","Nos",50
"8 Waste Water","8","","GRAND TOTAL","",0
"8 Waste Water","8","1.1","Pipe PVC","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position Pipe along with fitting, PVC ASTM D 1784, SCH 80 for APM Piping.","",0
"8 Waste Water","8","1","25 NB","Mtr",0.5
"8 Waste Water","8","2","40 NB","Mtr",0.5
"8 Waste Water","8","3","50 NB","Mtr",54
"8 Waste Water","8","1.2","Fittings","",0
"8 Waste Water","8","1.2.1","Elbow 90, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos",1
"8 Waste Water","8","2","50 NB","Nos",12
"8 Waste Water","8","1.2.2","Elbow 45, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",4
"8 Waste Water","8","1.2.3","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",2
"8 Waste Water","8","1.2.4","Reducing Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB x 25 NB","Nos",10
"8 Waste Water","8","2","50 NB x 40 NB","Nos",2
"8 Waste Water","8","1.2.5","Coupling, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","1.2.6","End cap , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50NB","Nos.",1
"8 Waste Water","8","1.2.7","Flange with Gasket and Fastners, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",9
"8 Waste Water","8","2","40 NB","Nos.",2
"8 Waste Water","8","3","50 NB","Nos.",4
"8 Waste Water","8","1.2.8","Blind Flange, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",5
"8 Waste Water","8","2","50 NB","Nos.",1
"8 Waste Water","8","1.2.9","View Glass Flange , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","1.3","BALL VALVE","",0
"8 Waste Water","8","1.3.1","Supply, Installation, Testing And Commissioning Of Ball Valve, PVC Construction, Union Style, Full Port, Teflon Seat And Viton “O” Ring, union to be considered with valve","",0
"8 Waste Water","8","1","50 NB","Nos.",2
"8 Waste Water","8","2.1","Pipe PP-H","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position of Pipe along with fitting of PP-H, PN6,  DIN 8078 / DIN 8077 for APM Piping.","",0
"8 Waste Water","8","2.2","Fittings","",0
"8 Waste Water","8","2.2.1","Elbow 90°,  PP-H, PN-6, as per DIN 16962/15494","",0
"8 Waste Water","8","1","50 NB","Nos.",15
"8 Waste Water","8","2.2.2","Equal Tee, PP-H, PN-6, as per DIN 16962/15494","",0
"8 Waste Water","8","1","50NB","Nos.",1
"8 Waste Water","8","2.2.3","Flange with Gasket and Fastners, PP-H","",0
"8 Waste Water","8","1","50 NB","Nos.",2
"8 Waste Water","8","2.2.4","Coupling, PP-H","",0
"8 Waste Water","8","1","50 NB","Nos",1
"8 Waste Water","8","1.1","Pipe","",0
"8 Waste Water","8","","Supplying, erection, testing and commissioning of approved make Pipe for IPAL including cutting, welding, installation etc, as per drawing. 
The quoted rate shall include for necessary clamp support for IPAL pipes & Fittings etc.","",0
"8 Waste Water","8","1.1.1","PIPE, ASME B36.19, PE, EFW, ASTM A312-TP 304, SCH 40S, 20 to 40 micron internal finished","",0
"8 Waste Water","8","1","25 NB","Mtr",0.5
"8 Waste Water","8","2","40 NB","Mtr",0.6
"8 Waste Water","8","1.1.2","PIPE, ASME B36.19, BE, EFW, ASTM A312-TP 304, SCH 10S,  20 to 40 micron internal finished","",0
"8 Waste Water","8","1","50 NB","Mtr",74
"8 Waste Water","8","1.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"8 Waste Water","8","1.2.1","Elbow, 90 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304, 20 to 40 micron internal finished","",0
"8 Waste Water","8","1","25 NB","Nos",1
"8 Waste Water","8","1.2.2","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"8 Waste Water","8","2","50 NB","Nos",14
"8 Waste Water","8","1.2.2","Elbow 45, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",4
"8 Waste Water","8","1.2.3","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",2
"8 Waste Water","8","1.2.4","Reducing Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB x 25 NB","Nos",2
"8 Waste Water","8","2","50 NB x 40 NB","Nos",10
"8 Waste Water","8","1.2.5","Coupling, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","1.2.6","End cap , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","1.2.7","Flange with Gasket and Fastners, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",2
"8 Waste Water","8","2","40 NB","Nos.",10
"8 Waste Water","8","3","50 NB","Nos.",4
"8 Waste Water","8","1.2.8","Blind Flange, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","40  NB","Nos.",5
"8 Waste Water","8","2","50 NB","Nos.",1
"8 Waste Water","8","1.2.9","View Glass Flange , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","1.1","PIPE","",0
"8 Waste Water","8","","Supplying, erection, testing and commissioning of approved make Pipe for W-OR-431 including cutting, welding, installation etc, as per drawing. 
The quoted rate shall include for necessary clamp support for W-OR-431 pipes & Fittings etc.","",0
"8 Waste Water","8","1.1.1","PIPE, ASME B36.19, PE, EFW, ASTM A312-TP 304, SCH 40S,  20 to 40 micron internal finished","",0
"8 Waste Water","8","1","25 NB","Mtr",1
"8 Waste Water","8","1.1.2","PIPE, ASME B36.19, BE, EFW, ASTM A312-TP 304, SCH 10S,  20 to 40 micron internal finished","",0
"8 Waste Water","8","1","50 NB","Mtr",75
"8 Waste Water","8","1.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"8 Waste Water","8","1.2.1","Elbow, 90 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304, 20 to 40 micron internal finished","",0
"8 Waste Water","8","1","25 NB","Nos",2
"8 Waste Water","8","1.2.2","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"8 Waste Water","8","1","50NB","Nos",8
"8 Waste Water","8","1.2.3","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"8 Waste Water","8","1","50 NB","Nos",6
"8 Waste Water","8","1.2.4","TEE, Equal, ASME B16.9, BW, ASTM A 403 GR.F304-S, 20 to 40 micron internal finished, SCH Match to pipe","",0
"8 Waste Water","8","1","50 NB","Nos",2
"8 Waste Water","8","1.2.5","TEE, Reducing, ASME B16.9, BW, ASTM A 403 GR. F304-S, 20 to 40 micron internal finished, SCH Match to pipe","",0
"8 Waste Water","8","1","50 NB X 25 NB","Nos",12
"8 Waste Water","8","1.2..6","End Cap, ASME B16.9, ASTM A 182 GR.F304, THD(F),  Sch 40, 20 to 40 micron internal finished","",0
"8 Waste Water","8","1","50 NB","Nos",1
"8 Waste Water","8","1.2.7","FLANGE (SW RF ),  ASTM A182 F304, ASME B 16.5 150#, RF, with Gasket - EPDM & Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"8 Waste Water","8","1","25 NB","Nos",12
"8 Waste Water","8","1.2.8","FLANGE (SO RF ), ASTM A182 F304, ASME B16.5 150#, RF, with Gasket - EPDM & Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"8 Waste Water","8","1","50 NB","Nos",4
"8 Waste Water","8","1.2.9","BLIND FLANGE (RF ),  ASTM A182 F304, ASME B 16.5 150#, RF, with Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"8 Waste Water","8","1","25 NB","Nos",7
"8 Waste Water","8","1.2.10","SIGHT GLASS FLANGE, SS304,  ASME B16.5, AS PER MFG STD.","",0
"8 Waste Water","8","1","50 NB","Nos",1
"8 Waste Water","8","2.1","PIPE","",0
"8 Waste Water","8","","Supplying, erection, testing and commissioning of approved make Pipe for W-OR-431 including cutting, welding, installation etc, as per drawing. 
The quoted rate shall include for necessary clamp support for W-OR-431 pipes & Fittings etc.","",0
"8 Waste Water","8","2.1.1","PIPE, ASME B36.19, BE, EFW, ASTM A312-TP 304, SCH 10S,  20 to 40 micron internal finished","",0
"8 Waste Water","8","1","25 NB","Mtr",20
"8 Waste Water","8","2.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"8 Waste Water","8","2.2.1","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"8 Waste Water","8","1","25 NB","Nos",9
"8 Waste Water","8","2.2.2","TEE, Equal, ASME B16.9, BW, ASTM A 403 GR.F304-S, 20 to 40 micron internal finished, SCH Match to pipe","",0
"8 Waste Water","8","1","25 NB","Nos",1
"8 Waste Water","8","2.2.3","FLANGE (SW RF ),  ASTM A182 F304, ASME B 16.5 150#, RF, with Gasket - EPDM & Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"8 Waste Water","8","1","25 NB","Nos",2
"8 Waste Water","8","1.1","Pipe PVC","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position Pipe along with fitting, PVC ASTM D 1784, SCH 80 for CCW Piping.","",0
"8 Waste Water","8","1","25 NB","Mtr",0.5
"8 Waste Water","8","2","40 NB","Mtr",1
"8 Waste Water","8","3","80 NB","Mtr",76
"8 Waste Water","8","1.2","Fittings","",0
"8 Waste Water","8","1.2.1","Elbow 90, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos",1
"8 Waste Water","8","2","80 NB","Nos",12
"8 Waste Water","8","1.2.2","Elbow 45, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","80 NB","Nos",5
"8 Waste Water","8","1.2.3","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","80 NB","Nos",2
"8 Waste Water","8","1.2.4","Reducing Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","80 NB x 25 NB","Nos",2
"8 Waste Water","8","2","80 NB x 40 NB","Nos",16
"8 Waste Water","8","1.2.5","End cap , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","80 NB","Nos.",1
"8 Waste Water","8","1.2.6","Flange with Gasket and Fastners, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",1
"8 Waste Water","8","2","40 NB","Nos.",16
"8 Waste Water","8","3","80 NB","Nos.",3
"8 Waste Water","8","1.2.7","Blind Flange, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","40 NB","Nos.",10
"8 Waste Water","8","1.2.8","View Glass Flange , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","80 NB","Nos.",1
"8 Waste Water","8","1.1","PIPE PVC - FOR FAB AREA","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position Pipe along with fitting, PVC ASTM D 1784, SCH 80 for MMW Piping.","",0
"8 Waste Water","8","1","25 NB","Mtr",1
"8 Waste Water","8","2","50 NB","Mtr",42
"8 Waste Water","8","3","65 NB","Mtr",1
"8 Waste Water","8","4","80 NB","Mtr",63
"8 Waste Water","8","1.2","FITTINGS","",0
"8 Waste Water","8","1.2.1","Elbow 90, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos",2
"8 Waste Water","8","2","50 NB","Nos",2
"8 Waste Water","8","3","80 NB","Nos",8
"8 Waste Water","8","1.2.2","Elbow 45, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",6
"8 Waste Water","8","2","80 NB","Nos",5
"8 Waste Water","8","1.2.3","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",1
"8 Waste Water","8","","80 NB","",3
"8 Waste Water","8","1.2.4","Reducing Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB x 25 NB","Nos",12
"8 Waste Water","8","2","80 NB x 25 NB","Nos",2
"8 Waste Water","8","3","80 NB x 50 NB","Nos",1
"8 Waste Water","8","4","80 NB x 65NB","Nos",15
"8 Waste Water","8","1.2.5","End cap , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","2","80 NB","Nos.",1
"8 Waste Water","8","1.2.6","Flange with Gasket and Fastners, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",12
"8 Waste Water","8","2","50 NB","Nos.",1
"8 Waste Water","8","3","65 NB","Nos.",15
"8 Waste Water","8","4","80 NB","Nos.",3
"8 Waste Water","8","1.2.7","Blind Flange, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos.",7
"8 Waste Water","8","1","65 NB","Nos.",9
"8 Waste Water","8","1.2.8","View Glass Flange , PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","2","80 NB","Nos.",1
"8 Waste Water","8","2.1","PIPE PVC","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position of double containment Pipe along with fitting, PVC ASTM D 1784, SCH 80 for MMW Piping.","",0
"8 Waste Water","8","1","50 NB","Mtr",77
"8 Waste Water","8","2.2","Fittings","",0
"8 Waste Water","8","2.2.1","Elbow 90, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",16
"8 Waste Water","8","2.2.2","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","2.2.3","Flange with Gasket and Fastners, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",1
"8 Waste Water","8","2.2.1","COUPLING, Double contaiment, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos.",2
"8 Waste Water","8","1.1","PIPE PVC - FOR FAB AREA","",0
"8 Waste Water","8","","Providing, fixing, jointing and testing in position Pipe along with fitting, PVC ASTM D 1784, SCH 80 for WWR+IW Piping.","",0
"8 Waste Water","8","1","25 NB","Mtr",2
"8 Waste Water","8","2","40 NB","Mtr",0.5
"8 Waste Water","8","3","50 NB","Mtr",79
"8 Waste Water","8","4","100 NB","Mtr",99
"8 Waste Water","8","1.2","FITTINGS","",0
"8 Waste Water","8","1.2.1","Elbow 90, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","25 NB","Nos",2
"8 Waste Water","8","2","50 NB","Nos",2
"8 Waste Water","8","3","100 NB","Nos",8
"8 Waste Water","8","1.2.2","Elbow 45, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",14
"8 Waste Water","8","2","100 NB","Nos",4
"8 Waste Water","8","1.2.3","Equal Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB","Nos",2
"8 Waste Water","8","2","100 NB","Nos",2
"8 Waste Water","8","1.2.4","Reducing Tee, PVC Schedule 80 confirming to  ASTM D2467","",0
"8 Waste Water","8","1","50 NB x 25 NB","Nos",30
"8 Waste Water","8","2","100 NB x 25 NB","Nos",2
"8 Waste Water","8","3","100 NB x 40 NB","Nos",3
"8 Waste Water","8","4","100 NB x 50 NB","Nos",25
"8 Waste Water","8","5","150 NB x 50 NB","Nos",1
"8 Waste Water","8","1.2.5","Reducing Concentric, PVC Schedule 80 confirming to  ASTM D2467","",0
